DOID,Old,New
 DOID:0050237,['name: Euglenozoa infectious disease'],['name: obsolete Euglenozoa infectious disease']
 DOID:10877,['name: disorganized type schizophrenia chronic state with acute exacerbation'],['name: obsolete disorganized type schizophrenia chronic state with acute exacerbation']
 DOID:9146, ,"['is_a: DOID:0080001 ! bone disease', 'is_a: DOID:2529 ! splenic disease', 'is_a: DOID:409 ! liver disease']"
 DOID:4975,['name: Actinobacillus infectious disease'],['name: obsolete Actinobacillus infectious disease']
 DOID:0050239,['name: Fornicata infectious disease'],['name: obsolete Fornicata infectious disease']
 DOID:6962,['name: recurrent cancer of skin'],['name: obsolete recurrent cancer of skin']
 DOID:437, ,"['def: ""An autoimmune neuromuscular disease, has_material_basis_in antibodies to acetylcholine receptors at the neuromuscular junction, has_symptom ptosis, has_symptom diplopia, has_symptom dysphagia, has_symptom dysarthria, has_symptom muscle weakness and has_symptom dyspnea."" [url:https\\://www.ninds.nih.gov/Disorders/Patient-Caregiver-Education/Fact-Sheets/Myasthenia-Gravis-Fact-Sheet]']"
 DOID:0050422,['name: Yersinia pseudotuberculosis gastroenteritis'],['name: obsolete Yersinia pseudotuberculosis gastroenteritis']
 DOID:3974,['name: medullary carcinoma'],['name: obsolete medullary carcinoma']
 DOID:14157,['name: malnutrition of mild degree'],['name: obsolete malnutrition of mild degree']
 DOID:0050742, ,"['def: ""A substance dependence that is characterized by a physical dependence on nicotine."" [url:https\\://en.wikipedia.org/wiki/Nicotine_dependence]']"
 DOID:2211, ,"['def: ""An inherited blood coagulation disease that is characterized by easy bleeding, has_symptom prolonged umbilical cord bleeding, epistaxis, bleeding of the gums, menorrhagia, recurrent miscarriages, abnormal scar formation and wound healing, and hemarthrosis, and has_material_basis_in autosomal recessive inheritance of mutation of the F13A1 or F13B gene, which encodes Factor XIII, formally known as fibrin stabilizing factor."" [url:http\\://omim.org/entry/613225, url:http\\://omim.org/entry/613235, url:https\\://ghr.nlm.nih.gov/condition/factor-xiii-deficiency#inheritance]']"
 DOID:12923,['name: chronic undifferentiated schizophrenia'],['name: obsolete chronic undifferentiated schizophrenia']
 DOID:0050364,['name: opportunistic Flavobacteriaceae infectious disease'],['name: obsolete opportunistic Flavobacteriaceae infectious disease']
 DOID:9795,['name: tuberculous meningitis'],['name: obsolete tuberculous meningitis']
 DOID:10574,['name: vitamin D deficiency'],['name: obsolete vitamin D deficiency']
 DOID:411,['name: bovine tuberculosis'],['name: obsolete bovine tuberculosis']
 DOID:7812,['name: Enterovirus gastroenteritis'],['name: obsolete Enterovirus gastroenteritis']
 DOID:10274,['name: schizo-affective type schizophrenia in remission'],['name: obsolete schizo-affective type schizophrenia in remission']
 DOID:433,['name: Intraventricular hemorrhage from any perinatal cause'],['name: obsolete Intraventricular hemorrhage from any perinatal cause']
 DOID:6505, ,"['def: ""A benign vaginal carcinosarcoma that has_material_basis_in epithelial cells of the remnants of the vestibular gland and is located_in vagina."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC3782956/]']"
 DOID:13722,['is_a: DOID:936 ! brain disease'], 
 DOID:8625,['name: postherpetic trigeminal neuralgia'],['name: obsolete postherpetic trigeminal neuralgia']
 DOID:5931,['name: unresectable extrahepatic bile duct cancer'],['name: obsolete unresectable extrahepatic bile duct cancer']
 DOID:0050861, ,['is_a: DOID:299 ! adenocarcinoma']
 DOID:9222,['name: lymphosarcoma involving lymph nodes of inguinal region and lower limb'],['name: obsolete lymphosarcoma involving lymph nodes of inguinal region and lower limb']
 DOID:4245,['name: extraskeletal cartilaginous and osseous tumor'],['name: obsolete extraskeletal cartilaginous and osseous tumor']
 DOID:6523,['is_a: DOID:6524 ! malignant ciliary body melanoma'],['is_a: DOID:4352 ! ciliary body cancer']
 DOID:5980,['name: hemispheric anaplastic astrocytoma'],['name: obsolete hemispheric anaplastic astrocytoma']
 DOID:0070163,"['synonym: ""SPGF21"" EXACT []']", 
 DOID:5979,['name: human papilloma virus related vulvar squamous cell carcinoma'],['name: obsolete human papilloma virus related vulvar squamous cell carcinoma']
 DOID:0050371,['name: commensal Pasteurellaceae infectious disease'],['name: obsolete commensal Pasteurellaceae infectious disease']
 DOID:0050657,['xref: OMIM:153480'], 
 DOID:3015,['name: breast papillary neoplasm'],['name: obsolete breast papillary neoplasm']
 DOID:64,['name: epithelial tissue disease'],['name: obsolete epithelial tissue disease']
 DOID:410,['name: tuberculous ascites'],['name: obsolete tuberculous ascites']
 DOID:0050091,['name: disseminated paracoccidioidomycosis'],['name: obsolete disseminated paracoccidioidomycosis']
 DOID:13032,['name: Trichomonas balanoposthitis'],['name: obsolete Trichomonas balanoposthitis']
 DOID:12450,['xref: https://en.wikipedia.org/wiki/Pancytopenia'], 
 DOID:10731,['name: nodular lung tuberculosis'],['name: obsolete nodular lung tuberculosis']
 DOID:7638,"[""name: Paget's disease and invasive ductal carcinoma of breast""]","[""name: obsolete Paget's disease and invasive ductal carcinoma of breast""]"
 DOID:6104,['name: mixed embryonal carcinoma and teratoma of the mediastinum'],['name: obsolete mixed embryonal carcinoma and teratoma of the mediastinum']
 DOID:13906,['name: malignant pleural effusion'],['name: obsolete malignant pleural effusion']
 DOID:14360,['name: Opisthorchis viverrini infectious disease'],['name: obsolete Opisthorchis viverrini infectious disease']
 DOID:6556,['name: hamartoma of Spinal Cord'],['name: obsolete hamartoma of Spinal Cord']
 DOID:2956,['name: intra-abdominal lymphangioma'],['name: obsolete intra-abdominal lymphangioma']
 DOID:5416,['name: recurrent small cell lung cancer'],['name: obsolete recurrent small cell lung cancer']
 DOID:5430,['name: intraurothelial neoplasia'],['name: obsolete intraurothelial neoplasia']
 DOID:0050384,['name: commensal Helicobacteraceae infectious disease'],['name: obsolete commensal Helicobacteraceae infectious disease']
 DOID:9819,['name: delimited old retinal detachment'],['name: obsolete delimited old retinal detachment']
 DOID:6995,['name: metastasis to the kidney'],['name: obsolete metastasis to the kidney']
 DOID:12000,['name: secondary malignant neoplasm of trachea'],['name: obsolete secondary malignant neoplasm of trachea']
 DOID:4256,['name: rheumatism'],['name: obsolete rheumatism']
 DOID:4625,['name: enchondromatosis'],['name: obsolete enchondromatosis']
 DOID:7793,['name: recurrent uterine sarcoma'],['name: obsolete recurrent uterine sarcoma']
 DOID:5266,['name: leiomyosarcoma metastatic'],['name: obsolete leiomyosarcoma metastatic']
 DOID:0070255,"['synonym: ""RHS"" EXACT []', 'synonym: ""leukocyte adhesion deficiency, type II"" EXACT []', 'synonym: ""LAD2"" EXACT []']",['is_a: DOID:0050737 ! autosomal recessive disease']
 DOID:10116,['name: Trypanosoma brucei gambiense infectious disease'],['name: obsolete Trypanosoma brucei gambiense infectious disease']
 DOID:1986,['name: perinatal disease'],['name: obsolete perinatal disease']
 DOID:0050695, ,"['def: ""A pleural cancer that is located_in mesenchymal cells in the areolar tissue subjacent to the mesothelial-lined pleura."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/17075563]']"
 DOID:3866,['name: desmoplastic medulloblastoma'],['name: obsolete desmoplastic medulloblastoma']
 DOID:1744,['name: malignant lymphatic vessel tumor'],['name: obsolete malignant lymphatic vessel tumor']
 DOID:0050648, ,"['def: ""An osteochondrodysplasia that is characterized by specific patterns of aplasia/hypoplasia of humeri, femora, spine in newborns."" [url:https\\://link.springer.com/chapter/10.1007/978-1-60327-161-5_17, url:https\\://rarediseases.info.nih.gov/diseases/9287/atelosteogenesis-type-1]']"
 DOID:10233,['name: Histoplasma capsulatum pericarditis'],['name: obsolete Histoplasma capsulatum pericarditis']
 DOID:14114,['name: congenital adhesion of tongue'],['name: obsolete congenital adhesion of tongue']
 DOID:153,['name: fibroepithelial neoplasm'],['name: obsolete fibroepithelial neoplasm']
 DOID:5312,['name: miscellaneous mesenchymal neoplasm'],['name: obsolete miscellaneous mesenchymal neoplasm']
 DOID:4274,['name: Pestivirus infectious disease'],['name: obsolete Pestivirus infectious disease']
 DOID:1734,['name: viral gastroenteritis'],['name: obsolete viral gastroenteritis']
 DOID:5708,['name: liposarcoma metastatic'],['name: obsolete liposarcoma metastatic']
 DOID:0060082, ,"['def: ""A thoracic benign neoplasm that is characterized by lack of malignancy."" [url:https\\://www.cancer.org/cancer/breast-cancer/non-cancerous-breast-conditions.html]']"
 DOID:2413,['name: epithelioid and spindle cell nevus'],['name: obsolete epithelioid and spindle cell nevus']
 DOID:0090145, ,['is_a: DOID:863 ! nervous system disease']
 DOID:0050231,['name: hepatic capillariasis'],['name: obsolete hepatic capillariasis']
 DOID:3867,['name: nevoid basal cell carcinoma syndrome associated medulloblastoma'],['name: obsolete nevoid basal cell carcinoma syndrome associated medulloblastoma']
 DOID:0050769, ,"['def: ""A syndrome that is characterized by intellectual disability, deafness, ocular abnormalities, T-cell leukemia, cryptorchidism, hypospadias and spasticity."" [url:https\\://rarediseases.info.nih.gov/diseases/3902/n-syndrome]']"
 DOID:8623,['name: adhesions and disruptions of pupillary membranes'],['name: obsolete adhesions and disruptions of pupillary membranes']
 DOID:8454, ,"['def: ""A nutritional deficiency disease that is characterized by stomatitis, cheilosis, glossitis, conjunctivitis, and anemia, develops_from vitamin B2 (riboflavin) deficiency, has_symptom red chapped lips, painful swollen tongue, sore throat, blurred vision, and fatigue, and has_material_basis_in inadequate intake, endocrine disorder, liver disorder, alcoholism, and dialysis."" [url:https\\://www.ncbi.nlm.nih.gov/books/NBK470460/]']"
 DOID:13734,['name: AIDS-related Pneumocystis jirovecii pneumonia'],['name: obsolete AIDS-related Pneumocystis jirovecii pneumonia']
 DOID:7026,['name: adult malignant meningioma'],['name: obsolete adult malignant meningioma']
 DOID:128,['name: vaginal soft tissue tumor'],['name: obsolete vaginal soft tissue tumor']
 DOID:11680,['name: ocular onchocerciasis'],['name: obsolete ocular onchocerciasis']
 DOID:882,['is_a: DOID:936 ! brain disease'], 
 DOID:8836,"[""name: Burkitt's tumor or lymphoma involving lymph nodes of head, face, and neck""]","[""name: obsolete Burkitt's tumor or lymphoma involving lymph nodes of head, face, and neck""]"
 DOID:14473,['name: adenovirus pneumonia'],['name: obsolete adenovirus pneumonia']
 DOID:11607,['name: candidal meningitis'],['name: obsolete candidal meningitis']
 DOID:3591,['name: Nonmetastatic Gestational Trophoblastic tumor'],['name: obsolete Nonmetastatic Gestational Trophoblastic tumor']
 DOID:0060278, ,"['def: ""A pontocerebellar hypoplasia that is characterized by progressive microcephaly, spasticity, seizure and brain atrophy, has_material_basis_in autosomal recessive inheritance of mutation in the AMPD2 gene."" [url:https\\://www.omim.org/entry/615809]']"
 DOID:2616,['is_a: DOID:657 ! adenoma'], 
 DOID:11638,['is_a: DOID:9835 ! refractive error'], 
 DOID:0050093,['name: disseminated sporotrichosis'],['name: obsolete disseminated sporotrichosis']
 DOID:2882,"['name: Cysts of iris, ciliary body and anterior chamber']","['name: obsolete Cysts of iris, ciliary body and anterior chamber']"
 DOID:3215,['name: infectious bovine rhinotracheitis'],['name: obsolete infectious bovine rhinotracheitis']
 DOID:10557,['name: maternal distress'],['name: obsolete maternal distress']
 DOID:14200,['name: diplopia'],['name: obsolete diplopia']
 DOID:2231, ,"['def: ""An autosomal genetic disease that is characterized by prolonged PTT time without clinical symptoms, and has_material_basis_in autosomal recessive inheritance of mutation in the F12 gene on chromosome 5q33."" [url:http\\://omim.org/entry/234000, url:https\\://rarediseases.org/rare-diseases/factor-xii-deficiency/]']"
 DOID:0050411,['name: Staphylococcus aureus erysipelas'],['name: obsolete Staphylococcus aureus erysipelas']
 DOID:7931,['name: old burn scar-related squamous cell carcinoma of skin'],['name: obsolete old burn scar-related squamous cell carcinoma of skin']
 DOID:3872,['name: leptomeningeal metastases'],['name: obsolete leptomeningeal metastases']
 DOID:0050945, ,"['def: ""A spastic ataxia that is characterized by poor visual acuity, cerebellar ataxia, dysarthria and pyramidal signs."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/6821680, url:https\\://www.omim.org/entry/108650]']"
 DOID:5937,['name: autosomal dominant polycystic kidney'],['name: obsolete autosomal dominant polycystic kidney']
 DOID:2631,['name: serous cystadenoma'],['name: obsolete serous cystadenoma']
 DOID:0080226,['is_a: DOID:0060307 ! autosomal dominant non-syndromic intellectual disability'],"['is_a: DOID:0050736 ! autosomal dominant disease', 'def: ""A syndromic intellectual disability characterized by global developmental delay, intellectual disability and in most cases hypotonia, delayed walking, poor fine motor skills, and poor or absent speech that has_material_basis_in heterozygous mutation in the CLTC gene on chromosome 17q23."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/26822784, url:https\\://www.ncbi.nlm.nih.gov/pubmed/29100083]', 'is_a: DOID:0050888 ! syndromic intellectual disability']"
 DOID:5071,['name: central nervous system soft tissue neoplasm'],['name: obsolete central nervous system soft tissue neoplasm']
 DOID:7352,['name: diencephalic anaplastic astrocytoma'],['name: obsolete diencephalic anaplastic astrocytoma']
 DOID:2127, ,['is_a: DOID:2994 ! germ cell cancer']
 DOID:0060848,"['is_a: DOID:2481 ! infantile epileptic encephalopathy', 'def: ""An infantile epileptic encephalopathy that has_material_basis_in the gene encoding protocadherin-19 (PCDH19) on chromosome Xq22."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/18469813, url:https\\://www.ncbi.nlm.nih.gov/pubmed/19752159]']","['def: ""An early infantile epileptic encephalopathy that has_material_basis_in the gene encoding protocadherin-19 (PCDH19) on chromosome Xq22."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/18469813, url:https\\://www.ncbi.nlm.nih.gov/pubmed/19752159]', 'is_a: DOID:0050709 ! early infantile epileptic encephalopathy']"
 DOID:8837,"[""name: Hodgkin's lymphoma, nodular sclerosis, involving lymph nodes of head, face, and neck""]","[""name: obsolete Hodgkin's lymphoma, nodular sclerosis, involving lymph nodes of head, face, and neck""]"
 DOID:2626,"['is_a: DOID:0060090 ! central nervous system benign neoplasm', 'is_a: DOID:0060091 ! cardiovascular organ benign neoplasm', 'is_a: DOID:6713 ! cerebrovascular disease']",['is_a: DOID:60007 ! cerebrovascular benign neoplasm']
 DOID:13724, ,"['def: ""A nutritional deficiency disease that is characterized by vitamin C (ascorbic acid) deficiency and has_symptom fatigue, weakness, anemia, petechiae, corkscrew hair, gingivitis, and poor wound healing."" [url:https\\://medlineplus.gov/ency/article/000355.htm, url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC2567249/]']"
 DOID:5387,"['is_a: DOID:657 ! adenoma', 'def: ""An adenoma that is located_in the middle ear."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/25741045]']","['def: ""A sensory organ benign neoplasm that is located_in the middle ear."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/25741045]']"
 DOID:6578,['name: ovarian dermoid cyst with secondary sebaceous tumor'],['name: obsolete ovarian dermoid cyst with secondary sebaceous tumor']
 DOID:0050413,['name: Staphylococcus aureus impetigo'],['name: obsolete Staphylococcus aureus impetigo']
 DOID:0060389, ,"['def: ""A chromosomal gene deletion syndrome that is characterized by dysmorphic facies, developmental delay and multiple congenital abnormalities and huvenile polyposis, has_material_basis_in recurrent deletions of chromosome 10q22.3-q23.2."" [url:https\\://www.omim.org/entry/612242]']"
 DOID:7296,['name: nonmetastatic childhood soft tissue sarcoma'],['name: obsolete nonmetastatic childhood soft tissue sarcoma']
 DOID:3604,['is_a: DOID:60004 ! malignant cystadenoma'], 
 DOID:0050580,"['xref: OMIM:153100', 'xref: OMIM:153200', 'xref: OMIM:613480', 'synonym: ""Milroy\'s disease"" EXACT []', 'xref: OMIM:611944', 'xref: OMIM:615907', 'synonym: ""Nonne-Milroy lymphedema"" EXACT []', 'xref: OMIM:247440']",['xref: OMIM:PS153100']
 DOID:6897,['name: Malposition and malpresentation of fetus'],['name: obsolete Malposition and malpresentation of fetus']
 DOID:2609,['is_a: DOID:4045 ! muscle cancer'],['is_a: DOID:305 ! carcinoma']
 DOID:9359,['name: enthesopathy of knee'],['name: obsolete enthesopathy of knee']
 DOID:4875,"['synonym: ""adenoid cystic carcinoma of trachea"" RELATED []', 'synonym: ""adenoid cystic carcinoma of trachea"" EXACT []']", 
 DOID:2757,['name: Mycobacterium infectious disease'],['name: obsolete Mycobacterium infectious disease']
 DOID:5316,['name: alveolar soft part sarcoma nonmetastatic'],['name: obsolete alveolar soft part sarcoma nonmetastatic']
 DOID:7245,['name: metastatic endometrial adenocarcinoma'],['name: obsolete metastatic endometrial adenocarcinoma']
 DOID:0050178,['name: complex genetic disease'],['name: obsolete complex genetic disease']
 DOID:10237,['name: pelvic cancer'],['name: obsolete pelvic cancer']
 DOID:10256,['name: vitamin A deficiency with conjunctival xerosis'],['name: obsolete vitamin A deficiency with conjunctival xerosis']
 DOID:0050964, ,"['def: ""An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria and dysphagia, has_material_basis_in mutation in the PRKCG gene."" [url:https\\://rarediseases.info.nih.gov/diseases/9867/spinocerebellar-ataxia-14]']"
 DOID:4684,['name: skin appendage carcinoma'],['name: obsolete skin appendage carcinoma']
 DOID:5981,['name: hamartoma of hypothalamus'],['name: obsolete hamartoma of hypothalamus']
 DOID:4982,"[""name: metastatic Ewing's sarcoma""]","[""name: obsolete metastatic Ewing's sarcoma""]"
 DOID:4387,['name: recurrent peripheral primitive neuroectodermal tumor'],['name: obsolete recurrent peripheral primitive neuroectodermal tumor']
 DOID:9180,['name: amebic colitis'],['name: obsolete amebic colitis']
 DOID:7517,['name: central nervous system mixed germ cell tumor'],['name: obsolete central nervous system mixed germ cell tumor']
 DOID:3896,"['is_a: DOID:0060084 ! cell type benign neoplasm', 'def: ""An adenoma that is located_in an apical sweat gland."" [url:https\\://en.wikipedia.org/wiki/Hidradenoma]', 'xref: NCI:C7560']","['def: ""A sweat gland neoplasm that is located_in an apical sweat gland."" [url:https\\://en.wikipedia.org/wiki/Hidradenoma]']"
 DOID:6545,['name: adult atypical meningioma'],['name: obsolete adult atypical meningioma']
 DOID:2446,['name: gigantism'],['name: obsolete gigantism']
 DOID:8136,['name: transitional cell carcinoma of the ureter with mixed differentiation'],['name: obsolete transitional cell carcinoma of the ureter with mixed differentiation']
 DOID:0050151,['name: tracheobronchial tuberculosis'],['name: obsolete tracheobronchial tuberculosis']
 DOID:3607,['is_a: DOID:60004 ! malignant cystadenoma'], 
 DOID:2399,['name: ovarian clear cell neoplasm'],['name: obsolete ovarian clear cell neoplasm']
 DOID:7410,['name: vulvar squamous cell carcinoma with tumor giant cells'],['name: obsolete vulvar squamous cell carcinoma with tumor giant cells']
 DOID:5652,['name: metaplastic carcinoma'],['name: obsolete metaplastic carcinoma']
 DOID:10191,['name: autosomal deletion syndrome'],['name: obsolete autosomal deletion syndrome']
 DOID:5934,['name: localized extrahepatic bile duct cancer'],['name: obsolete localized extrahepatic bile duct cancer']
 DOID:1086,['name: congenital chromosomal disease'],['name: obsolete congenital chromosomal disease']
 DOID:9155, ,['is_a: DOID:974 ! upper respiratory tract disease']
 DOID:7333,['is_a: DOID:7334 ! nephrogenic adenoma'], 
 DOID:0080076, ,"['def: ""A serine deficiency that is characterized by multiple fatal malformations including ichthyosis, microcephaly, central nervous system abnormalities, limb deformities, intrauterine growth restriction, proptosis, anasarca, and micrognathia, and has_material_basis_in autosomal recessive inheritance of mutation in the PHGDH gene on chromosome 1p12, causing issues producing the amino acid serine."" [url:https\\://www.omim.org/entry/256520]']"
 DOID:1832,['name: Mild hyperemesis gravidarum'],['name: obsolete Mild hyperemesis gravidarum']
 DOID:2514,['name: meningococcal optic neuritis'],['name: obsolete meningococcal optic neuritis']
 DOID:1911,['is_a: DOID:3095 ! germ cell and embryonal cancer'],"['is_a: DOID:2994 ! germ cell cancer', 'is_a: DOID:1115 ! sarcoma']"
 DOID:7474,['is_a: DOID:1790 ! malignant mesothelioma'],['is_a: DOID:1749 ! squamous cell carcinoma']
 DOID:14090,['name: heartwater disease'],['name: obsolete heartwater disease']
 DOID:0050983, ,"['def: ""An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia, dysarthria, hyperreflexia, sensiorineural hearing loss and muscle atrophy, has_material_basis_in mutation in the NOP56 gene."" [url:https\\://ghr.nlm.nih.gov/condition/spinocerebellar-ataxia-type-36]']"
 DOID:11955,['name: malnutrition of moderate degree'],['name: obsolete malnutrition of moderate degree']
 DOID:7581,['name: psychogenic depressive psychosis'],['name: obsolete psychogenic depressive psychosis']
 DOID:5933,['name: resectable bile duct cancer'],['name: obsolete resectable bile duct cancer']
 DOID:10632,"['synonym: ""WFS"" EXACT []']", 
 DOID:13469,['name: secondary cutaneous syphilis'],['name: obsolete secondary cutaneous syphilis']
 DOID:2939,['name: Herpesviridae infectious disease'],['name: obsolete Herpesviridae infectious disease']
 DOID:0060300, ,"['def: ""A complement deficiency that is characterized byrecurrnet bascterial infections, has_material_basis_in mutation in the C7 gene."" [url:https\\://www.omim.org/entry/610102]']"
 DOID:0060379, ,"['def: ""A hetergeneous dysostosis that is characterized by digital dysplasia, downslanted palpebral fissures, deafness and developmental delay, has_material_basis_in mutation to the SF3B4 gene."" [url:https\\://rarediseases.info.nih.gov/diseases/498/nager-acrofacial-dysostosis]']"
 DOID:3668,['name: Picornaviridae infectious disease'],['name: obsolete Picornaviridae infectious disease']
 DOID:0090115,"['def: ""A nervous system disease characterized by autosomal recessive inheritance of spinocerebellar ataxia and peripheral neuropathy that has_material_basis_in homozygosity for a mutation in the TDP1 gene on chromosome 14q32.11."" []']","['def: ""A nervous system disease characterized by autosomal recessive inheritance of spinocerebellar ataxia and peripheral neuropathy that has_material_basis_in homozygosity for a mutation in the TDP1 gene on chromosome 14q32.11."" [url:https\\://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=EN&Expert=94124]']"
 DOID:1001,['name: labor complications'],['name: obsolete labor complications']
 DOID:4027,['name: fetal distress'],['name: obsolete fetal distress']
 DOID:10902,['name: pulmonary actinomycosis'],['name: obsolete pulmonary actinomycosis']
 DOID:6202,['name: mesothelioma malignant recurrent'],['name: obsolete mesothelioma malignant recurrent']
 DOID:5113, ,"['def: ""A nutrition disease that is characterized by deficiency of a nutritional element, such as a vitamin, mineral, carbohydrate, protein, fat, or general energy content."" [url:https\\://medlineplus.gov/malnutrition.html]']"
 DOID:0050363,['name: Capnocytophaga canimorsus infectious disease'],['name: obsolete Capnocytophaga canimorsus infectious disease']
 DOID:2487,['name: hypercholesterolemia'],['name: obsolete hypercholesterolemia']
 DOID:0080022,['name: McKusick type metaphyseal dysplasia'],['name: obsolete McKusick type metaphyseal dysplasia']
 DOID:8192,['name: recurrent vulva cancer'],['name: obsolete recurrent vulva cancer']
 DOID:2676,['name: papillary pseudomucinous cystadenoma'],['name: obsolete papillary pseudomucinous cystadenoma']
 DOID:3082, ,"['def: ""A lung disease that is characterized by inflammation and altered lung interstitium compromising pulmonary function and often has_symptom shortness of breath, dyspnea, and/or cough."" [url:https\\://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215823/]']"
 DOID:2680,['name: pediatric central nervous system tumor'],['name: obsolete pediatric central nervous system tumor']
 DOID:0050162,['name: influenza encephalopathy'],['name: obsolete influenza encephalopathy']
 DOID:9142,"[""name: Hodgkin's lymphoma, lymphocytic depletion, involving lymph nodes of multiple sites""]","[""name: obsolete Hodgkin's lymphoma, lymphocytic depletion, involving lymph nodes of multiple sites""]"
 DOID:2961,['name: DNA repair deficiency'],['name: obsolete DNA repair deficiency']
 DOID:10626,['name: insulin dependent type diabetes mellitus uncontrolled with ketoacidosis'],['name: obsolete insulin dependent type diabetes mellitus uncontrolled with ketoacidosis']
 DOID:10339,['name: schizophrenia simplex'],['name: obsolete schizophrenia simplex']
 DOID:4818,['name: lung occult non-small cell carcinoma'],['name: obsolete lung occult non-small cell carcinoma']
 DOID:2645,['is_a: DOID:0060084 ! cell type benign neoplasm'],['is_a: DOID:3314 ! angiomyolipoma']
 DOID:10837,"['name: diabetes mellitus,insulin dependent type with hyperosmolarity, not stated as uncontrolled']","['name: obsolete diabetes mellitus,insulin dependent type with hyperosmolarity, not stated as uncontrolled']"
 DOID:12020,"['name: malignant neoplasm of corpus uteri, except isthmus']","['name: obsolete malignant neoplasm of corpus uteri, except isthmus']"
 DOID:7006,['name: childhood cerebral diffuse astrocytoma'],['name: obsolete childhood cerebral diffuse astrocytoma']
 DOID:4700,['name: bathing trunk nevus'],['name: obsolete bathing trunk nevus']
 DOID:3819, ,"['def: ""An allergic contact dermatitis that has_allergic_trigger members of the toxicodendron family, including urushiol producing poison ivy, poison oak, and poison sumac, has_symptom pruritic erythematous rash with papules, vesicles, and plaques, and has_material_basis_in a type IV hypersensitivity reaction."" [url:https\\://www.ncbi.nlm.nih.gov/pubmed/16805148]']"
 DOID:12304,['is_a: DOID:11653 ! conjunctival deposit'], 
 DOID:8152,['name: distal 1/3 of common bile duct adenocarcinoma'],['name: obsolete distal 1/3 of common bile duct adenocarcinoma']
 DOID:8257,['name: transitional cell carcinoma of the ureter with squamous differentiation'],['name: obsolete transitional cell carcinoma of the ureter with squamous differentiation']
 DOID:13556,['name: gonococcal keratosis'],['name: obsolete gonococcal keratosis']
 DOID:357,['name: upper limb lymph node mast cell malignancy'],['name: obsolete upper limb lymph node mast cell malignancy']
 DOID:0050228,['name: amebic dysentery'],['name: obsolete amebic dysentery']
 DOID:2883,['is_a: DOID:657 ! adenoma'], 
 DOID:0060282, ,"['def: ""A developmental vitreous disease that is characterized by leukocoria, strabismus and vision loss, caused by failure of primary vitreous and hyaloid vasculature to regress during embryological development."" [url:https\\://en.wikipedia.org/wiki/Persistent_hyperplastic_primary_vitreous]']"
 DOID:8769,['name: malignant histiocytosis involving lymph nodes of inguinal region and lower limb'],['name: obsolete malignant histiocytosis involving lymph nodes of inguinal region and lower limb']
 DOID:0050065,['name: cutaneous listeriosis'],['name: obsolete cutaneous listeriosis']
 DOID:8349,['name: metastatic peripheral neuroepithelioma of bone'],['name: obsolete metastatic peripheral neuroepithelioma of bone']
 DOID:0050259,['is_a: DOID:936 ! brain disease'], 
 DOID:11606,['name: ileal disease'],['name: obsolete ileal disease']
 DOID:5278,['name: pediatric leiomyosarcoma'],['name: obsolete pediatric leiomyosarcoma']
 DOID:7799,['name: transitional cell carcinoma of the ureter with glandular differentiation'],['name: obsolete transitional cell carcinoma of the ureter with glandular differentiation']
 DOID:9061,['name: alcohol induced sleep disorder'],['name: obsolete alcohol induced sleep disorder']
 DOID:5456,['name: spinal vascular disorder'],['name: obsolete spinal vascular disorder']
 DOID:0060600,['name: hereditary motor and sensory neuropathy with agenesis of the corpus callosum'],['name: obsolete hereditary motor and sensory neuropathy with agenesis of the corpus callosum']
 DOID:0050255,['name: Uncinaria stenocephala infectious disease'],['name: obsolete Uncinaria stenocephala infectious disease']
 DOID:10699,['is_a: DOID:936 ! brain disease'], 
 DOID:0060267, ,"['def: ""A severe pontocerebellar hypoplasia that is characterized by progressive microcephaly, chorea, epilepsy and hyperreflexia, has_material_basis_in autosomal recessive inheritance of mutation in the TSEN54 gene."" [url:https\\://www.omim.org/entry/277470]']"
 DOID:5818,['name: ALPS-associated lymphoma'],['name: obsolete ALPS-associated lymphoma']
 DOID:0110668,"['synonym: ""CMS Ib"" EXACT []', 'synonym: ""congenital myasthenic syndrome type Ib"" EXACT []', 'synonym: ""CMS1B"" EXACT []']", 
 DOID:11892,['name: Amoebozoa infectious disease'],['name: obsolete Amoebozoa infectious disease']
 DOID:12056,['name: meningitis with clear cerebrospinal fluid'],['name: obsolete meningitis with clear cerebrospinal fluid']
 DOID:9642,['name: rheumatic chorea'],['name: obsolete rheumatic chorea']
 DOID:6382,['name: recurrent childhood glioma of brain stem'],['name: obsolete recurrent childhood glioma of brain stem']
 DOID:14739,['name: progressive high-tone neural deafness'],['name: obsolete progressive high-tone neural deafness']
